Prison,Opened,Closed,Latitude,Longitude,2015-16-unnatural,2015-16-natural,2014-15-unnatural,2014-15-natural,2013-14-unnatural,2013-14-natural,2012-13-unnatural,2012-13-natural,2011-12-unnatural,2011-12-natural,2010-11-unnatural,2010-11-natural,2009-10-natural,2009-10-unnatural,2008-09-unnatural,2008-09-natural,2007-08-unnatural,2007-08-natural,2006-07-Unnatural,2006-07-natural,2005-06-unnatural,2005-06-natural
Arohata,1944,,-41.187022,174.825962,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Auckland Women's,2006,,-37.011387,174.851135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Paremoremo,1968,,-36.756930,174.644086,2,1,1,1,1,0,0,0,0,0,2,2,1,0,3,1,2,0,2,0,1,0
Christchurch,1915,,-43.524369,172.466272,0,0,1,0,1,2,1,1,0,0,0,0,1,2,1,0,0,1,0,2,1,2
Hawkes Bay,1989,,-39.661541,176.782065,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0
Invercargill,1910,,-46.404422,168.343897,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Manawatu,1979,,-40.399521,175.570838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
Mt Eden,2011,,-36.867407,174.766057,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Ngawha,2005,,-35.396695,173.858278,0,0,0,2,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0
Otago,2007,,-46.085948,170.011910,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
Rimutaka,1967,,-41.155826,175.033587,0,6,2,3,1,2,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,3
Rolleston,1958,,-43.597793,172.344974,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Spring Hill,2007,,-37.3735,175.0813,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Tongariro and Rangipo,1922,,-38.992151,175.848103,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Waikeria,1911,,-38.119735,175.397198,1,0,1,1,0,1,1,3,0,1,1,1,0,0,0,3,2,0,0,3,2,0
Whanganui,1978,,-39.983191,175.097065,1,1,0,2,0,2,0,0,0,2,1,1,1,2,0,0,0,1,0,0,0,0
Wellington,1927,,-41.294941,174.827303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
New Plymouth,1860,,-39.063900,174.073367,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Christchurch Womens,1974,,-43.529245,172.447344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mt Eden Remand Prison,2000,,-36.867407,174.766057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0
Kohuora,2015,,-37.013756,174.851898,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
