BALANCE_DATE,Asian,European,Maori,Other,Pacific,Unknown,Total,,,,
6/30/1980,7,1124,1037,14,75,307,2564,,,,
1/31/1981,8,1024,1080,20,94,302,2528,,,,
1/31/1982,11,956,938,13,86,279,2283,,,,
1/31/1983,11,1029,1086,14,86,278,2504,,,,
1/31/1984,7,1018,1043,15,88,255,2426,,,,
1/31/1985,5,1145,1140,11,84,273,2658,,,,
1/31/1986,3,826,927,6,92,174,2028,,,,
1/31/1987,4,1004,1039,5,120,186,2358,,,,
1/31/1988,6,1161,1279,14,151,194,2805,,,,
1/31/1989,11,1193,1331,14,168,234,2951,,,,
1/31/1990,8,1266,1390,12,187,246,3109,,,,
1/31/1991,9,1461,1531,17,216,307,3541,,,,
1/31/1992,15,1428,1578,16,233,331,3601,,,,
1/31/1993,24,1561,1711,17,241,344,3898,,,,
1/31/1994,26,1404,1639,16,262,305,3652,,,,
1/31/1995,29,1466,1670,19,296,272,3752,,,,
1/31/1996,27,1461,1792,24,339,229,3872,,,,
1/31/1997,36,1646,2017,24,379,163,4265,,,,
1/31/1998,48,1664,2073,17,438,51,4291,,,,
1/31/1999,51,1781,2355,19,492,6,4704,,,,
1/31/2000,61,1733,2445,20,512,13,4784,,,,
1/31/2001,57,1793,2546,18,552,10,4976,,,,
1/31/2002,71,1601,2455,19,543,12,4701,,,,
1/31/2003,90,1725,2488,25,554,31,4913,,,,
1/31/2004,98,1831,2508,33,540,10,5020,,,,
1/31/2005,135,1981,2654,50,586,7,5413,,,,
1/31/2006,138,2242,2931,58,625,15,6009,,,,
1/31/2007,145,2270,2937,63,617,16,6048,,,,
6/30/2007,147,2345,3196,65,679,13,6445,,,,
